摘要,標註
中國福建省武平縣13日因連日強降雨，導致該縣平川街道東門市場旁的山坡發生山崩，多輛停在路旁的汽車當場被土石流波及，其中有名男子不幸罹難。綜合中媒報導，事發在下午4時許，連日的強降雨引發山崩，東門市場南側的祥勝路瞬間遭土石沖刷，多輛臨停道路兩側的汽車因此被沖走或掩埋。,土石流
中國南方多省自6月上旬以來持續暴雨，各地紛紛出現洪水，統計至今已釀61死、14人失蹤、531萬2000人受洪災影響、35萬6000人從家鄉撤離並安置在他處。中國應急管理部指出，本次洪災範圍包括廣東、廣西、福建、浙江、江西、湖南、重慶、貴州等8省49市77個縣，共有9300多間房屋倒塌、5萬6000間房屋損壞、農作物嚴重受損，估計經濟損失達人民幣133.5億元（約新台幣606.8億元）。,水災
日本南部鹿兒島屋久島鎮，昨天一個下午降雨420毫米雨量，打破當地50年來最大單日降雨量，由於雨勢太大，造成土石鬆軟滑動，有262名登山客被困山上，無法下山。日本《NHK》報導，屋久島鎮到今天清晨仍持續降雨，在當地時間凌晨3點時，測得最大降雨量達到每小時50毫米，並有閃電。，氣象廳警告，可能有洪水及土石流，要民眾小心。,大雨
日本沖繩縣與那國島距離宜蘭僅有111公里，今日上午遭遇了一場暴雨，由於降雨量極大，日本氣象廳指稱已達到「50年一度（50年洪水頻率）」。綜合外媒報導，日本離台灣最近之地的與那國島自今早開始下起大雨，直到中午11點左右才趨緩，日本氣象廳表示，在這6小時內突然降下393毫米的驚人雨量。,大雨
日本沖繩縣與那國島距離宜蘭僅有111公里，今日上午遭遇了一場暴雨，由於降雨量極大，日本氣象廳指稱已達到「50年一度（50年洪水頻率）」。綜合外媒報導，日本離台灣最近之地的與那國島自今早開始下起大雨，直到中午11點左右才趨緩，日本氣象廳表示，在這6小時內突然降下393毫米的驚人雨量。,大雨
南非東部海岸地區從週一開始下起豪雨，至今（24日）仍未停止，引起洪水與土石流，造成多棟建築物倒塌，至少51人死亡。綜合媒體報導，南非誇祖魯—納塔爾省（KwaZulu-Natal）因連日大雨，造成許多民宅無法居住，數百人無家可歸，有人被埋在倒塌的建築物中，有些被大水沖走，救難人員已在建築物倒塌地區展開搜救行動。當地官員表示，他們並未預測到天氣，無法及時防範。,土石流
南非東部海岸地區從週一開始下起豪雨，至今（24日）仍未停止，引起洪水與土石流，造成多棟建築物倒塌，至少51人死亡。綜合媒體報導，南非誇祖魯—納塔爾省（KwaZulu-Natal）因連日大雨，造成許多民宅無法居住，數百人無家可歸，有人被埋在倒塌的建築物中，有些被大水沖走，救難人員已在建築物倒塌地區展開搜救行動。當地官員表示，他們並未預測到天氣，無法及時防範。,水災
哥倫比亞當局指出，西南部的考卡省（Cauca）今天發生一起土石流意外，導致8棟民房遭掩埋，且造成至少14人喪命、5人受傷。法新社報導，哥國當局正在搜索可能受困在建築瓦礫堆下的其他民眾。,土石流
印尼龍目島當地時間今（17）日下午發生規模5.4地震，引發山崩，導致遊訪Tiu Kelep瀑布的國內外遊客受困，其中有2人死亡。綜合外媒報導，西努沙登加拉省（West Nusa Tenggara）災害管理機構負責人拉姆（Muhammad Rum）告訴當地媒體，今天有2場中型地震撼動龍目島，引發山崩，當時約有40名馬來西亞與印尼旅客在參觀龍目島北側的Tiu Kelep瀑布。,土石流
印尼龍目島當地時間今（17）日下午發生規模5.4地震，引發山崩，導致遊訪Tiu Kelep瀑布的國內外遊客受困，其中有2人死亡。綜合外媒報導，西努沙登加拉省（West Nusa Tenggara）災害管理機構負責人拉姆（Muhammad Rum）告訴當地媒體，今天有2場中型地震撼動龍目島，引發山崩，當時約有40名馬來西亞與印尼旅客在參觀龍目島北側的Tiu Kelep瀑布。,地震
